nr_reviews;beer_name;time_review;localisation;score;user
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
7;Kronenbourg 1664;FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 5/5<br />Taste 6/10<br />Palate 3/5<br />Overall 10/20<br /></small>;482278
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
5715;Leffe Ruby;FEB 11, 2018;"Tyne &amp; Wear, ENGLAND";1.1 out of 5.0<br /><small>Aroma 3/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 4/20<br /></small>;18863
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
503;Kronenbourg (Original);FEB 6, 2018;Cholet, FRANCE;1.2 out of 5.0<br /><small>Aroma 2/10<br />Appearance 1/5<br />Taste 2/10<br />Palate 1/5<br />Overall 6/20<br /></small>;481011
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1188;Leffe Tripel (Triple);JAN 26, 2018;Ilirska Bistrica, SLOVENIA;2.9 out of 5.0<br /><small>Aroma 7/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;145216
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
1048;Kronenbourg 1664 Blanc;FEB 10, 2018;W─Ögorzewo, POLAND;2.7 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 5/10<br />Palate 2/5<br />Overall 10/20<br /></small>;357664
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
67;Leffe 9┬░ / Rituel 9;FEB 1, 2018;Cholet, FRANCE;2 out of 5.0<br />;528642
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
135;La Chouffe;FEB 11, 2018;Warszawa, POLAND;3.8 out of 5.0<br /><small>Aroma 6/10<br />Appearance 4/5<br />Taste 7/10<br />Palate 5/5<br />Overall 16/20<br /></small>;448904
8;Bavaria 8.6 (Original);FEB 6, 2018;Cholet, FRANCE;3 out of 5.0<br />;539481
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
288;Heineken;FEB 8, 2018;Bonyhad, HUNGARY;2.5 out of 5.0<br /><small>Aroma 4/10<br />Appearance 2/5<br />Taste 5/10<br />Palate 3/5<br />Overall 11/20<br /></small>;290126
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
1301;Davelghem Blonde;JUN 13, 2016;R├╝sselsheim, GERMANY;2.7 out of 5.0<br /><small>Aroma 4/10<br />Appearance 3/5<br />Taste 5/10<br />Palate 3/5<br />Overall 12/20<br /></small>;350982
119;Kellegen Extra Forte 8.0;MAY 8, 2017;Hood River, Oregon, USA;1.6 out of 5.0<br /><small>Aroma 2/10<br />Appearance 2/5<br />Taste 3/10<br />Palate 3/5<br />Overall 6/20<br /></small>;453084
4203;Leffe Blonde;FEB 12, 2018;Orlando, Florida, USA;3.3 out of 5.0<br /><small>Aroma 6/10<br />Appearance 3/5<br />Taste 6/10<br />Palate 2/5<br />Overall 16/20<br /></small>;91588
